// @todo 轉成繁體(需自行載入此字典，與 synonym / zht.synonym 不同的是此字典內不考慮少見用詞的錯誤轉換狀況)
襪,袜
砲,炮
一隻,一只
佔上風,占上風
佔上风,占上风
佔有,占有
佔满,占满
佔滿,占滿
佔空間,占空間
佔空间,占空间
像是,象是
瀏海,劉海
製成,制成
捲入,卷入
捲进,卷进
後座,后座
後宫,后宫
後宮,后宮
後母,后母
//餵你,喂我
餵入,喂入
//餵我,喂我
//餵她,喂她
//餵他,喂他
餵我,喂我
餵飯,喂飯
餵饭,喂饭
回覆道,回复道
太醜,太丑
好像,好象
好睏,好困
徵得,征得
心繫,心系
恐怖份子,恐怖分子
拉麵,拉面
湯麵,湯面
犯睏,犯困
穀物,谷物
穀类,谷类
繫成,系成
繫著,系著
麵條,面条,面條,麵条


