// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
整于|0x100000|53
整隻|0x100000|241
整只|0x100000|241
敵蹤|0x100000|5
敌踪|0x100000|5
敵踪|0x100000|5
數佔|0x100000|9
数占|0x100000|9
數占|0x100000|9
數彙|0x100000|21
数汇|0x100000|21
數匯|0x100000|21
數採|0x100000|11
数采|0x100000|11
數采|0x100000|11
數百隻|0x300000|5
数百只|0x300000|5
數百只|0x300000|5
數隻|0x100000|5
数只|0x100000|5
數只|0x100000|5
文化裡|0x100000|35
文化里|0x100000|35
文於|0x100000|9
文于|0x100000|9
料桿|0x100000|7
料杆|0x100000|7
斜槓|0x100000|45
斜杠|0x100000|45
斜樑|0x100000|14
斜梁|0x100000|14
新劃|0x100000|35
新划|0x100000|35
新塗|0x100000|9
新凃|0x100000|9
新採|0x100000|10
新采|0x100000|10
新標準|0x100000|98
新标准|0x100000|98
新標准|0x100000|98
新潟|0x100000|6
新舄|0x100000|6
新臺|0x100000|6
新台|0x100000|6
新舖|0x100000|8
新铺|0x100000|8
新鋪|0x100000|8
新錶|0x100000|16
新表|0x100000|16
新髮|0x100000|6
新发|0x100000|6
新發|0x100000|6
斷捨|0x100000|30
断舍|0x100000|30
斷舍|0x100000|30
斷髮|0x100000|93
断发|0x100000|93
斷發|0x100000|93
方於|0x100000|29
方于|0x100000|29
於三|0x100000|385
于三|0x100000|385
於下|0x100000|54
于下|0x100000|54
於二|0x100000|19
于二|0x100000|19
於交|0x100000|16
于交|0x100000|16
於兩|0x100000|39
于两|0x100000|39
于兩|0x100000|39
於冷|0x100000|44
于冷|0x100000|44
於劃|0x100000|10
于划|0x100000|10
於划|0x100000|10
於原|0x100000|20
于原|0x100000|20
於台|0x100000|23
于台|0x100000|23
於各|0x100000|93
于各|0x100000|93
於同|0x100000|6
于同|0x100000|6
於在|0x100000|9
于在|0x100000|9
於後|0x100000|38
于后|0x100000|38
於后|0x100000|38
於您|0x100000|8
于您|0x100000|8
於採|0x100000|16
于采|0x100000|16
於采|0x100000|16
於本|0x100000|90
于本|0x100000|90
於次|0x100000|12
于次|0x100000|12
於每|0x100000|58
于每|0x100000|58
於當|0x100000|19
于当|0x100000|19
于當|0x100000|19
於約|0x100000|15
于约|0x100000|15
于約|0x100000|15
於總|0x100000|17
于总|0x100000|17
于總|0x100000|17
於臺|0x100000|44
於製|0x100000|8
于制|0x100000|8
於制|0x100000|8
於該|0x100000|5
于该|0x100000|5
于該|0x100000|5
於退|0x100000|12
于退|0x100000|12
於零|0x100000|6
于零|0x100000|6
於非|0x100000|62
于非|0x100000|62
於髮|0x100000|24
于发|0x100000|24
於發|0x100000|24
旁註|0x100000|37
旁注|0x100000|37
旗桿|0x100000|51
旗杆|0x100000|51
日採|0x100000|8
日采|0x100000|8
日於|0x100000|28
日于|0x100000|28
日曬|0x1000|190
日晒|0x1000|190
日曬雨淋|0x800000|58
日晒雨淋|0x800000|58
日製|0x100000|8
日制|0x100000|8
早採|0x100000|6
早采|0x100000|6
早於|0x100000|297
早于|0x100000|297
昆蟲|0x100000|599
昆虫|0x100000|599
明於|0x100000|7
明于|0x100000|7
易乾|0x100000|6
易干|0x100000|6
