// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
一人份|0x320000|8
一人分|0x320000|8
一份份|0x300000|5
一分分|0x300000|5
一係|0x301000|5
一系|0x301000|5
一兩份|0x300000|8
一两分|0x300000|8
一兩分|0x300000|8
一兩隻|0x300000|5
一两只|0x300000|5
一兩只|0x300000|5
一公釐|0x300000|21
一公厘|0x300000|21
一千份|0x300000|8
一千分|0x300000|8
一年份|0x4000|34
一年分|0x4000|34
一採|0x100000|7
一采|0x100000|7
一曬|0x100000|7
一晒|0x100000|7
一月份|0x324000|90
一月分|0x324000|90
一桿|0x100000|5
一杆|0x100000|5
一沖|0x100000|21
一冲|0x100000|21
一衝|0x100000|21
一瓶年份|0x4000|10
一瓶年分|0x4000|10
一百二十份|0x300000|30
一百二十分|0x300000|30
一百五十份|0x300000|10
一百五十分|0x300000|10
一百隻|0x300000|7
一百只|0x300000|7
一直乾|0x1000|9
一直干|0x1000|9
一直幹|0x1000|9
一蹴可幾|0x1001000|6
一蹴可几|0x1001000|6
七月份|0x4000|104
七月分|0x4000|104
七隻|0x300000|7
七只|0x300000|7
三公釐|0x300000|50
三公厘|0x300000|50
三十幾份|0x300000|5
三十几分|0x300000|5
三十幾分|0x300000|5
三十隻|0x300000|5
三十只|0x300000|5
三千份|0x300000|14
三千分|0x300000|14
三於|0x100000|13
三于|0x100000|13
三月份|0x320000|410
三月分|0x320000|410
三百二十份|0x300000|5
三百二十分|0x300000|5
三百六十份|0x300000|5
三百六十分|0x300000|5
上乾|0x100000|5
上干|0x100000|5
上佔|0x100000|5
上占|0x100000|5
上劃|0x100000|94
上划|0x100000|94
上唸|0x100000|6
上念|0x100000|6
上塗|0x100000|20
上凃|0x100000|20
上彙|0x100000|9
上汇|0x100000|9
上匯|0x100000|9
上於|0x100000|18
上于|0x100000|18
上曬|0x100000|13
上晒|0x100000|13
上月份|0x100000|14
上月分|0x100000|14
上槓|0x100000|23
上杠|0x100000|23
上繫|0x100000|9
上系|0x100000|9
上註|0x100000|1537
上注|0x100000|1537
上鉤|0x1000|32
上钩|0x1000|32
上鈎|0x1000|32
上雲|0x100000|11
上云|0x100000|11
上鹹|0x100000|11
上咸|0x100000|11
下嚥|0x1000|6
下咽|0x1000|6
下城裡|0x100000|6
下城里|0x100000|6
下採|0x100000|5
下采|0x100000|5
下於|0x100000|18
下于|0x100000|18
下曬|0x100000|105
下晒|0x100000|105
下槓|0x100000|5
下杠|0x100000|5
下籤|0x100000|9
下签|0x100000|9
下簽|0x100000|9
下街裡|0x100000|5
下街里|0x100000|5
下鬆|0x100000|15
下松|0x100000|15
不佔|0x1000|54
不占|0x1000|54
不劃|0x100000|5
不划|0x100000|5
不採|0x100000|15
不采|0x100000|15
不於|0x100000|8
不于|0x100000|8
不會乾|0x1000|27
不会干|0x1000|27
不會幹|0x1000|27
不繫|0x100000|17
不系|0x100000|17
不製|0x100000|5
不制|0x100000|5
不複|0x1000|49
不复|0x1000|49
不復|0x1000|49
不鏽鋼板|0x100000|16
不锈钢板|0x100000|16
不銹鋼板|0x100000|16
不鏽鋼網|0x100000|5
不锈钢网|0x100000|5
不銹鋼網|0x100000|5
且劃|0x100000|5
且划|0x100000|5
且塗|0x100000|10
且凃|0x100000|10
且後|0x100000|18
且后|0x100000|18
且採|0x100000|21
且采|0x100000|21
且殼|0x100000|14
且壳|0x100000|14
且殻|0x100000|14
且準|0x100000|24
且准|0x100000|24
且製|0x100000|8
且制|0x100000|8
且鹹|0x100000|6
且咸|0x100000|6
丙於|0x100000|8
丙于|0x100000|8
並劃|0x100000|15
并划|0x100000|15
並划|0x100000|15
並塗|0x100000|16
并凃|0x100000|16
並凃|0x100000|16
并涂|0x100000|16
並彙|0x100000|58
并汇|0x100000|58
並匯|0x100000|58
並採|0x100000|10
并采|0x100000|10
並采|0x100000|10
並摺|0x100000|13
并折|0x100000|13
並折|0x100000|13
並沖|0x100000|7
并冲|0x100000|7
並衝|0x100000|7
並繫|0x100000|30
并系|0x100000|30
並系|0x100000|30
並製|0x100000|8
并制|0x100000|8
並制|0x100000|8
並註|0x100000|219
并注|0x100000|219
並注|0x100000|219
中乾|0x100000|5
中干|0x100000|5
中佔|0x100000|99
中占|0x100000|99
中併|0x100000|6
中并|0x100000|6
中並|0x100000|6
中塗|0x100000|70
中凃|0x100000|70
中崙|0x100000|25
中仑|0x100000|25
中侖|0x100000|25
中彙|0x100000|23
中汇|0x100000|23
中匯|0x100000|23
中心裡|0x100000|123
中心里|0x100000|123
中於|0x100000|67
中于|0x100000|67
中註|0x100000|827
中注|0x100000|827
中颱|0x100000|21
中台|0x100000|21
丰的|0x100000|5
豐的|0x100000|5
主於|0x100000|9
主于|0x100000|9
主樑|0x100000|211
主梁|0x100000|211
之乾|0x100000|13
之干|0x100000|13
之佔|0x100000|5
之占|0x100000|5
之劃|0x100000|91
之划|0x100000|91
之塗|0x100000|63
之凃|0x100000|63
之幾|0x100000|15
之几|0x100000|15
之彙|0x100000|27
之汇|0x100000|27
之匯|0x100000|27
之採|0x100000|5
之采|0x100000|5
之沖|0x100000|6
之冲|0x100000|6
之衝|0x100000|6
之籤|0x100000|8
之签|0x100000|8
之簽|0x100000|8
之繫|0x100000|8
之系|0x100000|8
之製|0x100000|26
之制|0x100000|26
之複|0x100000|5
之复|0x100000|5
之復|0x100000|5
之註|0x100000|11
之注|0x100000|11
之鍊|0x100000|18
之炼|0x100000|18
之煉|0x100000|18
之鎚|0x100000|5
之锤|0x100000|5
之錘|0x100000|5
之鏽|0x100000|8
之锈|0x100000|8
之銹|0x100000|8
之雲|0x100000|7
之云|0x100000|7
乙份|0x100000|84
乙分|0x100000|84
乙於|0x100000|16
乙于|0x100000|16
九月份|0x604000|153
九月分|0x604000|153
也併|0x100000|9
也并|0x100000|9
也並|0x100000|9
也於|0x100000|9
也于|0x100000|9
也註|0x100000|6
也注|0x100000|6
也鬆|0x100000|11
也松|0x100000|11
乾不了|0x1000|22
干不了|0x1000|22
幹不了|0x1000|22
乾不掉|0x801000|7
干不掉|0x801000|7
幹不掉|0x801000|7
乾且|0x100000|61
干且|0x100000|61
乾並|0x100000|6
干并|0x100000|6
干並|0x100000|6
乾乾|0x100|32
干干|0x100|32
乾但|0x100000|6
干但|0x100000|6
乾再|0x100000|23
干再|0x100000|23
乾冷|0x1000|9
干冷|0x1000|9
乾刷|0x100000|16
干刷|0x100000|16
乾則|0x100000|11
干则|0x100000|11
干則|0x100000|11
乾劑|0x100000|11
干剂|0x100000|11
干劑|0x100000|11
乾區|0x100000|59
干区|0x100000|59
干區|0x100000|59
乾又|0x100000|10
干又|0x100000|10
乾口|0x100000|9
干口|0x100000|9
乾吧|0x1000|5
干吧|0x1000|5
幹吧|0x1000|5
乾和|0x100000|31
干和|0x100000|31
乾嗎|0x800000|27
干吗|0x800000|27
幹嗎|0x800000|27
乾固|0x100000|30
干固|0x100000|30
乾土|0x100000|7
干土|0x100000|7
乾在|0x100000|20
干在|0x100000|20
乾型|0x100000|6
干型|0x100000|6
乾塢|0x100000|9
干坞|0x100000|9
干塢|0x100000|9
乾太|0x100000|124
干太|0x100000|124
乾好|0x1000|5
干好|0x1000|5
幹好|0x1000|5
乾就|0x100000|52
干就|0x100000|52
乾屑|0x100000|6
干屑|0x100000|6
乾度|0x100000|22
干度|0x100000|22
乾式|0x100000|202
干式|0x100000|202
乾後|0x100000|107
干后|0x100000|107
干後|0x100000|107
乾得|0x1000|228
干得|0x1000|228
幹得|0x1000|228
乾性|0x100000|338
干性|0x100000|338
乾或|0x100000|25
干或|0x100000|25
乾才|0x100000|8
干才|0x100000|8
乾拌|0x100000|21
干拌|0x100000|21
乾掛|0x100000|5
干挂|0x100000|5
干掛|0x100000|5
乾擦|0x100000|7
干擦|0x100000|7
乾放|0x100000|5
干放|0x100000|5
乾敏|0x100000|10
干敏|0x100000|10
乾料|0x100000|25
干料|0x100000|25
乾是|0x100000|11
干是|0x100000|11
乾時|0x100000|71
干时|0x100000|71
干時|0x100000|71
乾梅|0x100000|6
干梅|0x100000|6
乾棗|0x100000|6
干枣|0x100000|6
干棗|0x100000|6
乾槽|0x100000|7
干槽|0x100000|7
乾槽症|0x100000|418
干槽症|0x100000|418
乾機|0x100000|6
干机|0x100000|6
干機|0x100000|6
乾櫃|0x100000|14
干柜|0x100000|14
干櫃|0x100000|14
乾水|0x100000|6
干水|0x100000|6
乾沙|0x100000|8
干沙|0x100000|8
乾法|0x100000|6
干法|0x100000|6
乾洗|0x1000|669
干洗|0x1000|669
乾海帶|0x100000|16
干海带|0x100000|16
干海帶|0x100000|16
乾濕|0x100000|274
干湿|0x100000|274
干濕|0x100000|274
乾炒|0x100000|29
干炒|0x100000|29
乾煎|0x100000|85
干煎|0x100000|85
乾煸|0x100000|43
干煸|0x100000|43
乾熱|0x100000|28
干热|0x100000|28
干熱|0x100000|28
乾燥器|0x100000|9
干燥器|0x100000|9
乾爹|0x100000|5
干爹|0x100000|5
乾爽|0x40000000|225
干爽|0x40000000|225
乾爽不|0x40000000|5
干爽不|0x40000000|5
乾爽的|0x40000000|48
干爽的|0x40000000|48
乾用|0x100000|5
干用|0x100000|5
乾當|0x100000|8
干当|0x100000|8
干當|0x100000|8
乾痛|0x100000|6
干痛|0x100000|6
乾癢|0x100000|66
干痒|0x100000|66
干癢|0x100000|66
乾白|0x100000|7
干白|0x100000|7
乾看|0x100000|6
干看|0x100000|6
乾眼|0x100000|25
干眼|0x100000|25
乾砂|0x100000|6
干砂|0x100000|6
乾砌|0x100000|6
干砌|0x100000|6
乾碎|0x100000|6
干碎|0x100000|6
乾磨|0x100000|7
干磨|0x100000|7
乾筍|0x100000|6
干笋|0x100000|6
干筍|0x100000|6
乾米|0x100000|7
干米|0x100000|7
乾粉|0x100000|282
干粉|0x100000|282
乾紋|0x100000|28
干纹|0x100000|28
干紋|0x100000|28
乾結|0x1000|8
干结|0x1000|8
干結|0x1000|8
乾縮|0x100000|266
干缩|0x100000|266
干縮|0x100000|266
乾而|0x100000|14
干而|0x100000|14
乾肌|0x100000|10
干肌|0x100000|10
乾膜|0x100000|30
干膜|0x100000|30
乾至|0x100000|23
干至|0x100000|23
乾與|0x100000|21
干与|0x100000|21
干與|0x100000|21
乾草堆|0x100000|10
干草堆|0x100000|10
乾菇|0x100000|21
干菇|0x100000|21
乾葉|0x100000|47
干叶|0x100000|47
干葉|0x100000|47
乾蔥|0x100000|8
干葱|0x100000|8
干蔥|0x100000|8
乾處|0x100000|15
干处|0x100000|15
干處|0x100000|15
乾蝦|0x100000|13
干虾|0x100000|13
干蝦|0x100000|13
乾衣|0x100000|59
干衣|0x100000|59
乾要|0x100000|14
干要|0x100000|14
乾跑|0x100000|15
干跑|0x100000|15
乾跟|0x100000|21
干跟|0x100000|21
乾轉|0x100000|25
干转|0x100000|25
干轉|0x100000|25
乾辣椒|0x100000|100
干辣椒|0x100000|100
乾邊|0x100000|5
干边|0x100000|5
干邊|0x100000|5
乾都|0x100000|6
干都|0x100000|6
乾醃|0x100000|29
干腌|0x100000|29
干醃|0x100000|29
乾重|0x100000|38
干重|0x100000|38
乾鍋|0x100000|27
干锅|0x100000|27
干鍋|0x100000|27
乾隆|0x100000|72
干隆|0x100000|72
乾香|0x100000|21
干香|0x100000|21
乾魚|0x100000|5
干鱼|0x100000|5
干魚|0x100000|5
乾魷魚|0x100000|23
干鱿鱼|0x100000|23
干魷魚|0x100000|23
乾鮑|0x100000|5
干鲍|0x100000|5
干鮑|0x100000|5
乾麵|0x100000|80
干面|0x100000|80
亂劃|0x1000|7
乱划|0x1000|7
亂划|0x1000|7
亂發|0xc0100000|19
乱发|0xc0100000|19
亂髮|0xc0100000|19
了乾|0x100000|13
了干|0x100000|13
了份|0x100000|14
了分|0x100000|14
了劃|0x100000|22
了划|0x100000|22
了塗|0x100000|16
了凃|0x100000|16
了幾|0x100000|124
了几|0x100000|124
了彙|0x100000|7
了汇|0x100000|7
了匯|0x100000|7
了捨|0x100000|6
了舍|0x100000|6
了採|0x100000|6
了采|0x100000|6
了製|0x100000|21
了制|0x100000|21
了複|0x100000|6
了复|0x100000|6
了復|0x100000|6
了註|0x100000|13
了注|0x100000|13
了里|0x100000|7
了裡|0x100000|7
了雲|0x100000|6
了云|0x100000|6
了鹹|0x100000|14
了咸|0x100000|14
二公釐|0x300000|7
二公厘|0x300000|7
二十隻|0x300000|12
二十只|0x300000|12
二噁英|0x100000|5
二恶英|0x100000|5
二惡英|0x100000|5
二崙|0x100000|9
二仑|0x100000|9
二侖|0x100000|9
二於|0x100000|6
二于|0x100000|6
二月份|0x204000|64
二月分|0x204000|64
二百份|0x300000|5
二百分|0x300000|5
于右|0x100000|7
於右|0x100000|7
互槓|0x100000|6
互杠|0x100000|6
五公釐|0x300000|54
五公厘|0x300000|54
五十幾|0x400000|5
五十几|0x400000|5
五十幾號|0x301000|5
五十几号|0x301000|5
五十几號|0x301000|5
五十隻|0x300000|8
五十只|0x300000|8
五千份|0x300000|9
五千分|0x300000|9
五彙|0x100000|24
五汇|0x100000|24
五匯|0x100000|24
五於|0x100000|8
五于|0x100000|8
五月份|0x320000|221
五月分|0x320000|221
五百隻|0x300000|5
五百只|0x300000|5
五穀豐登|0x100000|9
五谷丰登|0x100000|9
五谷豐登|0x100000|9
五穀雜糧|0x110000|33
五谷杂粮|0x110000|33
五谷雜糧|0x110000|33
五隻|0x300000|46
五只|0x300000|46
亞傑|0x100000|32
亚杰|0x100000|32
亞杰|0x100000|32
亦於|0x100000|87
亦于|0x100000|87
京阪|0x100000|19
京坂|0x100000|19
亮髮|0x100000|6
亮发|0x100000|6
亮發|0x100000|6
人份|0x100000|7
人分|0x100000|7
人佔|0x100000|5
人占|0x100000|5
人唸|0x100000|9
人念|0x100000|9
人於|0x100000|60
人于|0x100000|60
人曬|0x100000|11
人晒|0x100000|11
人髮|0x100000|9
人发|0x100000|9
人發|0x100000|9
仁勳|0x100000|207
仁勋|0x100000|207
仁勛|0x100000|207
仍佔|0x100000|7
仍占|0x100000|7
仍採|0x100000|18
仍采|0x100000|18
仍於|0x100000|13
仍于|0x100000|13
仔麵|0x100000|76
仔面|0x100000|76
他劃|0x100000|22
他划|0x100000|22
他唸|0x100000|35
他念|0x100000|35
他塗|0x100000|50
他凃|0x100000|50
他於|0x100000|70
他于|0x100000|70
他複|0x100000|7
他复|0x100000|7
他復|0x100000|7
他註|0x100000|5
他注|0x100000|5
代徵|0x1000|110
代征|0x1000|110
代於|0x100000|7
代于|0x100000|7
代誌|0x100000|6
代志|0x100000|6
以乾|0x100000|15
以干|0x100000|15
以後|0x2104002|42
以后|0x2104002|42
以臺|0x100000|15
以台|0x100000|15
件佔|0x100000|9
件占|0x100000|9
件併|0x100000|5
件并|0x100000|5
件並|0x100000|5
件係|0x100000|7
件系|0x100000|7
件彙|0x100000|6
件汇|0x100000|6
件匯|0x100000|6
件於|0x100000|35
件于|0x100000|35
任於|0x100000|18
任于|0x100000|18
份上|0x100000|52
分上|0x100000|52
份主|0x100000|15
分主|0x100000|15
份之|0x100000|28
分之|0x100000|28
份了|0x100000|21
分了|0x100000|21
份交|0x100000|6
分交|0x100000|6
份估|0x100000|5
分估|0x100000|5
份你|0x100000|6
分你|0x100000|6
份健|0x100000|9
分健|0x100000|9
份入|0x100000|9
分入|0x100000|9
份共|0x100000|5
分共|0x100000|5
份冷|0x100000|5
分冷|0x100000|5
份則|0x100000|144
分则|0x100000|144
分則|0x100000|144
份前|0x100000|7
分前|0x100000|7
份卡|0x100000|12
分卡|0x100000|12
份台|0x100000|7
分台|0x100000|7
份嗎|0x100000|23
分吗|0x100000|23
分嗎|0x100000|23
份圖|0x100000|6
分图|0x100000|6
分圖|0x100000|6
份在|0x100000|36
分在|0x100000|36
份多|0x100000|11
分多|0x100000|11
份好|0x100000|42
分好|0x100000|42
份存|0x100000|9
分存|0x100000|9
份完|0x100000|15
分完|0x100000|15
份寫|0x100000|10
分写|0x100000|10
分寫|0x100000|10
份對|0x100000|15
分对|0x100000|15
分對|0x100000|15
份就|0x100000|22
分就|0x100000|22
份已|0x100000|6
分已|0x100000|6
份後|0x100000|5
分后|0x100000|5
分後|0x100000|5
份從|0x100000|7
分从|0x100000|7
分從|0x100000|7
份慢|0x100000|9
分慢|0x100000|9
份我|0x100000|30
分我|0x100000|30
份或|0x100000|8
分或|0x100000|8
份才|0x100000|10
分才|0x100000|10
份托|0x100000|11
分托|0x100000|11
份投|0x100000|39
分投|0x100000|39
份放|0x100000|5
分放|0x100000|5
份新|0x100000|37
分新|0x100000|37
份於|0x100000|11
分于|0x100000|11
分於|0x100000|11
份是|0x100000|262
分是|0x100000|262
份月|0x100000|5
分月|0x100000|5
份有|0x100000|15
分有|0x100000|15
份松|0x100000|14
分松|0x100000|14
份檢|0x100000|11
分检|0x100000|11
分檢|0x100000|11
份此|0x100000|5
分此|0x100000|5
份沒|0x100000|10
分没|0x100000|10
分沒|0x100000|10
份烤|0x100000|8
分烤|0x100000|8
份牛|0x100000|8
分牛|0x100000|8
份用|0x100000|7
分用|0x100000|7
份由|0x100000|9
分由|0x100000|9
份申|0x100000|8
分申|0x100000|8
份留|0x100000|7
分留|0x100000|7
份的|0x100000|651
分的|0x100000|651
份碟|0x100000|5
分碟|0x100000|5
份簽|0x100000|5
分签|0x100000|5
分簽|0x100000|5
份紙|0x100000|17
分纸|0x100000|17
分紙|0x100000|17
份肉|0x100000|16
分肉|0x100000|16
份肋|0x100000|7
分肋|0x100000|7
份至|0x100000|244
分至|0x100000|244
份與|0x100000|12
分与|0x100000|12
分與|0x100000|12
份舊|0x100000|7
分旧|0x100000|7
分舊|0x100000|7
份藥|0x100000|8
分药|0x100000|8
分藥|0x100000|8
份被|0x100000|7
分被|0x100000|7
份補|0x100000|7
分补|0x100000|7
分補|0x100000|7
份要|0x100000|73
分要|0x100000|73
份請|0x100000|7
分请|0x100000|7
分請|0x100000|7
份資|0x100000|7
分资|0x100000|7
分資|0x100000|7
份起|0x100000|11
分起|0x100000|11
份跑|0x100000|13
分跑|0x100000|13
份跟|0x100000|6
分跟|0x100000|6
份退|0x100000|6
分退|0x100000|6
份過|0x100000|6
分过|0x100000|6
分過|0x100000|6
份還|0x100000|9
分还|0x100000|9
分還|0x100000|9
份都|0x100000|7
分都|0x100000|7
份金|0x100000|10
分金|0x100000|10
份額|0x100000|143
分额|0x100000|143
分額|0x100000|143
份飯|0x100000|6
分饭|0x100000|6
分飯|0x100000|6
企劃書|0x100000|975
企划书|0x100000|975
企划書|0x100000|975
企劃案|0x100000|543
企划案|0x100000|543
休閒|0x1000|1524
休闲|0x1000|1524
休閑|0x1000|1524
休閒鞋|0x100000|52
休闲鞋|0x100000|52
休閑鞋|0x100000|52
但劃|0x100000|26
但划|0x100000|26
但塗|0x100000|15
但凃|0x100000|15
但後|0x100000|71
但后|0x100000|71
但採|0x100000|7
但采|0x100000|7
但殼|0x100000|9
但壳|0x100000|9
但殻|0x100000|9
但製|0x100000|7
但制|0x100000|7
但雲|0x100000|5
但云|0x100000|5
佈了|0x100000|21
布了|0x100000|21
佈光|0x100000|179
布光|0x100000|179
佈到|0x100000|7
布到|0x100000|7
佈圖|0x100000|7
布图|0x100000|7
布圖|0x100000|7
佈在|0x100000|22
布在|0x100000|22
佈場|0x100000|49
布场|0x100000|49
布場|0x100000|49
佈壇|0x100000|26
布坛|0x100000|26
布壇|0x100000|26
佈好|0x100000|53
布好|0x100000|53
佈完|0x100000|8
布完|0x100000|8
佈建|0x100000|269
布建|0x100000|269
佈得|0x100000|6
布得|0x100000|6
佈放|0x100000|17
布放|0x100000|17
佈於|0x100000|9
布于|0x100000|9
布於|0x100000|9
佈燈|0x100000|18
布灯|0x100000|18
布燈|0x100000|18
佈的|0x100000|18
布的|0x100000|18
佈管|0x100000|16
布管|0x100000|16
佈組|0x100000|5
布组|0x100000|5
布組|0x100000|5
佈與|0x100000|6
布与|0x100000|6
布與|0x100000|6
位劃|0x100000|11
位划|0x100000|11
位註|0x100000|23
位注|0x100000|23
低槓|0x100000|36
低杠|0x100000|36
低溫乾燥|0x100000|40
低温干燥|0x100000|40
低溫干燥|0x100000|40
低筋麵粉|0x100000|194
低筋面粉|0x100000|194
低雲|0x100000|6
低云|0x100000|6
佔他|0x100000|5
占他|0x100000|5
佔住|0x100000|40
占住|0x100000|40
佔個|0x100000|5
占个|0x100000|5
占個|0x100000|5
佔全|0x100000|28
占全|0x100000|28
佔其|0x100000|16
占其|0x100000|16
佔分|0x100000|41
占分|0x100000|41
佔到|0x100000|106
占到|0x100000|106
佔台|0x100000|5
占台|0x100000|5
佔好|0x100000|19
占好|0x100000|19
佔座|0x100000|6
占座|0x100000|6
佔得|0x100000|8
占得|0x100000|8
佔從|0x100000|5
占从|0x100000|5
占從|0x100000|5
佔我|0x100000|11
占我|0x100000|11
佔掉|0x1000|233
占掉|0x1000|233
佔本|0x100000|15
占本|0x100000|15
佔格|0x100000|7
占格|0x100000|7
佔比|0x100000|1666
占比|0x100000|1666
佔營|0x100000|16
占营|0x100000|16
占營|0x100000|16
佔理|0x1000|5
占理|0x1000|5
佔的|0x100000|26
占的|0x100000|26
佔盡|0x100000|7
占尽|0x100000|7
占盡|0x100000|7
佔約|0x100000|11
占约|0x100000|11
占約|0x100000|11
佔總|0x100000|274
占总|0x100000|274
占總|0x100000|274
佔走|0x100000|10
占走|0x100000|10
佔道|0x100000|49
占道|0x100000|49
佔點|0x100000|30
占点|0x100000|30
占點|0x100000|30
何於|0x100000|8
何于|0x100000|8
何鬆|0x80|5
何松|0x80|5
作劃|0x1000|67
作划|0x1000|67
作註|0x100000|6
作注|0x100000|6
作麵|0x100000|5
作面|0x100000|5
你佔|0x100000|9
你占|0x100000|9
你劃|0x100000|21
你划|0x100000|21
你唸|0x100000|10
你念|0x100000|10
你塗|0x100000|11
你凃|0x100000|11
你彙|0x100000|6
你汇|0x100000|6
你匯|0x100000|6
你於|0x100000|5
你于|0x100000|5
你註|0x100000|7
你注|0x100000|7
併分|0x100000|5
并分|0x100000|5
並分|0x100000|5
併到|0x100000|47
并到|0x100000|47
並到|0x100000|47
併前|0x100000|33
并前|0x100000|33
並前|0x100000|33
併同|0x100000|57
并同|0x100000|57
並同|0x100000|57
併單|0x100000|130
并单|0x100000|130
並單|0x100000|130
併回|0x100000|7
并回|0x100000|7
並回|0x100000|7
併在|0x100000|188
并在|0x100000|188
並在|0x100000|188
併報|0x100000|13
并报|0x100000|13
並報|0x100000|13
併失|0x100000|9
并失|0x100000|9
並失|0x100000|9
併座|0x100000|9
并座|0x100000|9
並座|0x100000|9
併後|0x100000|6
并后|0x100000|6
並後|0x100000|6
併成|0x100000|287
并成|0x100000|287
並成|0x100000|287
併接|0x100000|8
并接|0x100000|8
並接|0x100000|8
併攏|0x1000|8
并拢|0x1000|8
並攏|0x1000|8
併有|0x100000|15
并有|0x100000|15
並有|0x100000|15
併服|0x100000|10
并服|0x100000|10
並服|0x100000|10
併案|0x100000|35
并案|0x100000|35
並案|0x100000|35
併櫃|0x100000|255
并柜|0x100000|255
並櫃|0x100000|255
併為|0x100000|42
并为|0x100000|42
並為|0x100000|42
併的|0x100000|7
并的|0x100000|7
並的|0x100000|7
併科|0x100000|9
并科|0x100000|9
並科|0x100000|9
併管|0x100000|5
并管|0x100000|5
並管|0x100000|5
併網|0x1000|45
并网|0x1000|45
並網|0x1000|45
併線|0x100000|39
并缐|0x100000|39
並線|0x100000|39
併計|0x100000|39
并计|0x100000|39
並計|0x100000|39
併走|0x100000|8
并走|0x100000|8
並走|0x100000|8
併車|0x100000|15
并车|0x100000|15
並車|0x100000|15
併開|0x100000|9
并开|0x100000|9
並開|0x100000|9
來唸|0x100000|24
来念|0x100000|24
來念|0x100000|24
來塗|0x100000|24
来凃|0x100000|24
來凃|0x100000|24
来涂|0x100000|24
來彙|0x100000|21
来汇|0x100000|21
來匯|0x100000|21
來摺|0x100000|6
来折|0x100000|6
來折|0x100000|6
來沖|0x100000|28
来冲|0x100000|28
來衝|0x100000|28
來臺|0x100000|21
来台|0x100000|21
來台|0x100000|21
來里|0x100000|5
来里|0x100000|5
來裡|0x100000|5
侷促|0x100000|216
局促|0x100000|216
侷促不安|0x1001000|5
局促不安|0x1001000|5
侷限性|0x100000|97
局限性|0x100000|97
侷限於|0x1000|39
局限于|0x1000|39
局限於|0x1000|39
係以|0x100000|44
系以|0x100000|44
係依|0x100000|28
系依|0x100000|28
係受|0x100000|6
系受|0x100000|6
係因|0x100000|693
系因|0x100000|693
係將|0x100000|9
系将|0x100000|9
系將|0x100000|9
係就|0x100000|8
系就|0x100000|8
係屬|0x100000|39
系属|0x100000|39
系屬|0x100000|39
係指|0x1000|63
系指|0x1000|63
係某|0x100000|6
系某|0x100000|6
係為|0x100000|33
系为|0x100000|33
系為|0x100000|33
係由|0x100000|106
系由|0x100000|106
係自|0x100000|7
系自|0x100000|7
係詞|0x100000|146
系词|0x100000|146
系詞|0x100000|146
保桿|0x100000|9
保杆|0x100000|9
保險桿|0x100000|306
保险杆|0x100000|306
保險杆|0x100000|306
修煉|0x100000|23
修炼|0x100000|23
修練|0x100000|23
修练|0x100000|23
個幾|0x100000|15
个几|0x100000|15
個几|0x100000|15
個彙|0x100000|8
个汇|0x100000|8
個匯|0x100000|8
個籤|0x100000|5
个签|0x100000|5
個簽|0x100000|5
個註|0x100000|21
个注|0x100000|21
個注|0x100000|21
個麵|0x100000|16
个面|0x100000|16
個面|0x100000|16
倒乾|0x100000|43
倒干|0x100000|43
倖免|0x1000|5
幸免|0x1000|5
借殼|0x100000|5
借壳|0x100000|5
借殻|0x100000|5
值於|0x100000|17
值于|0x100000|17
偏乾|0x100000|198
偏干|0x100000|198
偏鬆|0x100000|26
偏松|0x100000|26
偏鹹|0x100000|95
偏咸|0x100000|95
做乾|0x100000|9
做干|0x100000|9
做劃|0x100000|9
做划|0x100000|9
做塗|0x100000|8
做凃|0x100000|8
做彙|0x100000|17
做汇|0x100000|17
做匯|0x100000|17
做沖|0x100000|15
做冲|0x100000|15
做衝|0x100000|15
做製|0x100000|6
做制|0x100000|6
做複|0x100000|9
做复|0x100000|9
做復|0x100000|9
做註|0x100000|27
做注|0x100000|27
做鹹|0x100000|39
做咸|0x100000|39
停於|0x100000|7
停于|0x100000|7
傅崐萁|0x80|197
傅昆萁|0x80|197
傑倫|0x100000|13
杰伦|0x100000|13
杰倫|0x100000|13
傑在|0x100000|16
杰在|0x100000|16
傑尼|0x100000|16
杰尼|0x100000|16
傑森|0x100000|6
杰森|0x100000|6
傑的|0x100000|26
杰的|0x100000|26
備份|0x100000|34929
备分|0x100000|34929
備分|0x100000|34929
備製|0x100000|41
备制|0x100000|41
備制|0x100000|41
傷佔|0x100000|6
伤占|0x100000|6
傷占|0x100000|6
傷髮|0x100000|12
伤发|0x100000|12
傷發|0x100000|12
傾覆|0x1000|61
倾复|0x1000|61
傾復|0x1000|61
僅係|0x100000|6
仅系|0x100000|6
僅系|0x100000|6
僅採|0x100000|5
仅采|0x100000|5
僅采|0x100000|5
僅於|0x100000|25
仅于|0x100000|25
僅于|0x100000|25
像唸|0x100000|5
像念|0x100000|5
像塗|0x100000|7
像凃|0x100000|7
像隻|0x100000|12
像只|0x100000|12
僕人|0x100000|12
仆人|0x100000|12
僕從|0x100000|9
仆从|0x100000|9
仆從|0x100000|9
價裡|0x100000|23
价里|0x100000|23
價里|0x100000|23
儀於|0x100000|12
仪于|0x100000|12
儀于|0x100000|12
儲佔|0x100000|5
储占|0x100000|5
儲占|0x100000|5
元兇|0x100000|14
元凶|0x100000|14
元勳|0x100000|14
元勋|0x100000|14
元勛|0x100000|14
兇了|0x100000|86
凶了|0x100000|86
